College,Name,Position,Team,Salary,Number,Age,Weight,Height
Texas,Avery Bradley,PG,Boston Celtics,7730337.0,0.0,25.0,180.0,6-2
Marquette,Jae Crowder,SF,Boston Celtics,6796117.0,99.0,25.0,235.0,6-6
Boston University,John Holland,SG,Boston Celtics,,30.0,27.0,205.0,6-5
Georgia State,R.J. Hunter,SG,Boston Celtics,1148640.0,28.0,22.0,185.0,6-5
,Jonas Jerebko,PF,Boston Celtics,5000000.0,8.0,29.0,231.0,6-10
,Amir Johnson,PF,Boston Celtics,12000000.0,90.0,29.0,240.0,6-9
LSU,Jordan Mickey,PF,Boston Celtics,1170960.0,55.0,21.0,235.0,6-8
Gonzaga,Kelly Olynyk,C,Boston Celtics,2165160.0,41.0,25.0,238.0,7-0
Louisville,Terry Rozier,PG,Boston Celtics,1824360.0,12.0,22.0,190.0,6-2
Oklahoma State,Marcus Smart,PG,Boston Celtics,3431040.0,36.0,22.0,220.0,6-4
Ohio State,Jared Sullinger,C,Boston Celtics,2569260.0,7.0,24.0,260.0,6-9
Washington,Isaiah Thomas,PG,Boston Celtics,6912869.0,4.0,27.0,185.0,5-9
Ohio State,Evan Turner,SG,Boston Celtics,3425510.0,11.0,27.0,220.0,6-7
Kentucky,James Young,SG,Boston Celtics,1749840.0,13.0,20.0,215.0,6-6
North Carolina,Tyler Zeller,C,Boston Celtics,2616975.0,44.0,26.0,253.0,7-0
,Bojan Bogdanovic,SG,Brooklyn Nets,3425510.0,44.0,27.0,216.0,6-8
Oklahoma State,Markel Brown,SG,Brooklyn Nets,845059.0,22.0,24.0,190.0,6-3
North Carolina,Wayne Ellington,SG,Brooklyn Nets,1500000.0,21.0,28.0,200.0,6-4
Arizona,Rondae Hollis-Jefferson,SG,Brooklyn Nets,1335480.0,24.0,21.0,220.0,6-7
Georgia Tech,Jarrett Jack,PG,Brooklyn Nets,6300000.0,2.0,32.0,200.0,6-3
,Sergey Karasev,SG,Brooklyn Nets,1599840.0,10.0,22.0,208.0,6-7
Cincinnati,Sean Kilpatrick,SG,Brooklyn Nets,134215.0,6.0,26.0,219.0,6-4
Miami (FL),Shane Larkin,PG,Brooklyn Nets,1500000.0,0.0,23.0,175.0,5-11
